City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
526,beaune,47.0833,4.75,274.05,91,100,1.42,FR,1675100297
527,yulara,-25.2406,130.9889,296.23,64,98,5.11,AU,1675100298
528,koulikoro,14.0,-7.75,300.61,8,99,3.13,ML,1675100298
529,ashqelon,31.6693,34.5715,287.09,57,1,4.66,IL,1675100299
530,maniitsoq,65.4167,-52.9,265.47,90,100,6.44,GL,1675100300
531,piacabucu,-10.4056,-36.4344,302.53,59,23,5.34,BR,1675100300
532,avera,33.194,-82.5271,285.18,97,100,1.21,US,1675100301
533,mungaoli,24.4167,78.1,288.53,64,9,3.36,IN,1675100301
534,qarqin,37.4185,66.0436,280.08,60,100,5.27,AF,1675100302
535,dudinka,69.4058,86.1778,251.27,99,97,3.61,RU,1675100302
536,jumla,29.2747,82.1838,274.71,65,8,3.0,NP,1675100303
537,pastavy,55.1168,26.8326,273.77,95,100,6.3,BY,1675100303
538,narasannapeta,18.4167,84.05,294.28,79,15,2.2,IN,1675100303
539,kahului,20.8947,-156.47,294.17,93,40,3.6,US,1675100304
540,palmerston,-12.486,130.9833,301.14,85,40,3.6,AU,1675100305
541,lenoir city,35.7973,-84.256,284.32,96,100,1.16,US,1675100162
542,manokwari,-0.8667,134.0833,298.36,81,100,1.16,ID,1675100306
543,arya,33.6,73.0667,283.84,77,89,2.01,PK,1675100306
544,villa carlos paz,-31.4241,-64.4978,305.03,53,29,4.47,AR,1675100307
545,gizo,-8.103,156.8419,300.38,77,100,5.75,SB,1675100307
546,san ramon,37.7799,-121.978,280.83,32,0,2.24,US,1675100240
547,barcelos,41.5388,-8.6151,284.23,75,0,1.86,PT,1675100308
548,sola,-13.8833,167.55,298.5,82,100,1.47,VU,1675100308
549,bowen,-20.0167,148.2333,299.26,74,100,3.54,AU,1675100309
550,ouango,4.3133,22.5552,301.19,34,38,0.44,CF,1675100309
551,kharitonovo,61.4009,47.4978,265.47,92,100,4.94,RU,1675100310
552,veraval,20.9,70.3667,292.93,42,3,5.28,IN,1675100310
553,laguna,38.421,-121.4238,280.53,42,0,5.14,US,1675100311
554,ratnagiri,16.9833,73.3,295.94,86,2,4.99,IN,1675100312
555,pithapuram,17.1167,82.2667,298.33,82,24,2.93,IN,1675100312
556,fenoarivo,-18.933,47.4354,293.19,100,75,3.09,MG,1675100313
557,shu,43.5983,73.7614,264.92,89,82,2.66,KZ,1675100313
558,kochevo,59.5994,54.3125,259.2,98,90,2.7,RU,1675100314
559,oktyabrskoye,43.0645,44.7417,273.23,93,75,2.0,RU,1675100315
560,cancun,21.1743,-86.8466,301.11,57,40,3.09,MX,1675099739
561,kulhudhuffushi,6.6221,73.07,299.84,72,86,3.44,MV,1675100315
562,hualmay,-11.0964,-77.6139,298.02,72,89,4.47,PE,1675100316
